iter	RMSE
0	572.9288938
1	546.2763453
2	521.0889191
3	497.155502
4	474.5819254
5	453.2524754
6	432.756179
7	413.2963262
8	394.9431265
9	377.5214156
10	361.0701287
11	345.3345447
12	330.3806712
13	316.2685478
14	303.1692284
15	290.7762726
16	278.8227985
17	267.5927188
18	256.8939305
19	246.8260857
20	237.3498996
21	228.3794769
22	219.903993
23	211.906359
24	204.386096
25	197.3833917
26	190.7446615
27	184.508631
28	178.6635439
29	173.2516219
30	167.9871147
31	163.0516295
32	158.3773301
33	154.0883476
34	150.0338885
35	146.2629012
36	142.7050382
37	139.2688844
38	136.1150159
39	133.1862366
40	130.5311332
41	127.9310958
42	125.6373518
43	123.4104251
44	121.3235636
45	119.3793831
46	117.5446859
47	115.8841666
48	114.3037567
49	112.8343802
50	111.4459742
51	110.0819606
52	108.8745499
53	107.7529892
54	106.6544522
55	105.6671421
56	104.643558
57	103.7782009
58	102.9411021
59	102.1809058
60	101.5020121
61	100.6255731
62	100.0019865
63	99.40349546
64	98.84335661
65	98.23652583
66	97.68821489
67	97.23024554
68	96.79246074
69	96.35175332
70	95.98341249
71	95.60983418
72	95.09010825
73	94.39101857
74	93.79243385
75	93.37738198
76	93.05491795
77	92.69029023
78	92.39337841
79	92.15565328
80	91.93462123
81	91.65687407
82	91.43016745
83	91.21541567
84	90.89870613
85	90.67370221
86	90.41394002
87	90.21292836
88	90.03862234
89	89.72002679
90	89.48979779
91	89.3109559
92	88.70630241
93	88.32514481
94	87.66206023
95	87.38814842
96	87.23555233
97	87.09006839
98	86.9302039
99	86.74425464
100	86.5668317
101	86.42661629
102	86.2861729
103	85.77810734
104	85.57366777
105	84.93131005
106	84.65878575
107	84.54498126
108	84.38415572
109	84.29538929
110	84.14029955
111	83.96363442
112	83.8498019
113	83.74406172
114	83.43926829
115	83.36116718
116	83.26038656
117	82.98905697
118	82.86095697
119	82.71442376
120	82.64458009
121	82.51678698
122	82.3944543
123	82.3166591
124	82.19382073
125	82.13571832
126	81.98135257
127	81.8645587
128	81.77177239
129	81.70228467
130	81.51016733
131	81.37872212
132	81.30824115
133	81.2524402
134	81.15572825
135	81.086447
136	81.01299898
137	80.87502877
138	80.80058438
139	80.74178016
140	80.38757121
141	80.28678314
142	80.20699493
143	80.14493268
144	80.06143045
145	79.76041176
146	79.54195985
147	78.93607563
148	78.35511764
149	78.21222186
150	77.92023137
151	77.87287406
152	77.8136503
153	77.51181183
154	77.4359856
155	77.37083746
156	77.30885144
157	77.20560328
158	77.06271472
159	77.02521298
160	76.96794673
161	76.91995974
162	76.41668938
163	76.36186763
164	76.29955539
165	76.23753255
166	76.17108656
167	75.5588457
168	75.46289337
169	75.37458795
170	75.09998376
171	75.02996026
172	74.88699532
173	74.70612486
174	74.58061128
175	74.24373136
176	74.10975941
177	74.02492387
178	73.97538959
179	73.91451966
180	73.79825476
181	73.60756145
182	73.54692715
183	73.06755676
184	72.96947928
185	72.93080988
186	72.85367789
187	72.79653661
188	72.55037555
189	72.48612183
190	72.43527506
191	72.31654539
192	72.23895309
193	72.18327021
194	72.0313169
195	71.98617245
196	71.94418565
197	71.88900189
198	71.54390913
199	71.44588175
200	71.39450258
201	71.22544833
202	71.17951759
203	71.0711672
204	70.75885346
205	70.67035523
206	70.60933522
207	70.56220232
208	70.51309563
209	70.46737771
210	70.44566026
211	70.19858617
212	70.13970238
213	70.04496014
214	69.8752106
215	69.82970933
216	69.62169758
217	69.4471277
218	69.39006508
219	69.36423437
220	69.25462065
221	69.13311649
222	68.86789184
223	68.66587353
224	68.57353579
225	68.5228922
226	68.48704913
227	68.43099341
228	68.37295949
229	68.26870202
230	68.25077755
231	68.16632519
232	68.09130051
233	67.83966583
234	67.80482897
235	67.70970552
236	67.58982821
237	67.55156076
238	67.5331465
239	67.32203254
240	67.15502044
241	67.10362502
242	67.07043379
243	67.03658687
244	66.96641766
245	66.89113426
246	66.6832598
247	66.62485486
248	66.58651093
249	66.34296365
