hub_id,in_degree,out_degree,betweenness_centrality,clustering_coefficient,pagerank,total_hub_trips,total_sla_breach_trips,breach_rate_%,risk_tier
IND249407AAA,7,6,0.003991302973877926,0.2,0.001569826163178935,48.0,43.0,89.6,High Risk
IND144001AAB,8,7,0.0035928908766653736,0.26666666666666666,0.002927095510129022,47.0,43.0,91.5,High Risk
IND683511AAA,21,13,0.022133039400461612,0.029411764705882353,0.002956848302676747,61.0,41.0,67.2,High Risk
IND395023AAD,9,8,1.85220045193691e-05,0.0,0.0026411629979917173,50.0,41.0,82.0,Low Risk
IND431136AAC,8,9,0.005583439362359204,0.047619047619047616,0.00151899058055132,47.0,41.0,87.2,High Risk
IND421302AAR,7,6,0.0016121703933695759,0.0,0.001828463363150708,47.0,40.0,85.1,High Risk
IND413002AAA,7,6,0.003711756552727396,0.26666666666666666,0.0012194174735267779,45.0,40.0,88.9,High Risk
IND585104AAA,6,5,0.006379129556507612,0.0,0.0019270107248625997,47.0,40.0,85.1,High Risk
IND384205AAA,8,6,0.008360984040080106,0.1111111111111111,0.002265186088096652,42.0,40.0,95.2,High Risk
IND530012AAA,14,16,0.017525470276214646,0.054945054945054944,0.003005397637336936,59.0,39.0,66.1,High Risk
IND263153AAB,8,8,0.0071689607492264225,0.1111111111111111,0.001926832478395571,44.0,39.0,88.6,High Risk
IND811399AAA,1,4,0.0002507148611744248,0.6666666666666666,0.00023549220338261854,40.0,39.0,97.5,Low Risk
IND712310AAE,7,5,0.0032247187868313836,0.09523809523809523,0.001576336210098898,40.0,38.0,95.0,High Risk
IND781018AAB,23,22,0.03315264053630304,0.021645021645021644,0.003557282588157166,74.0,38.0,51.4,High Risk
IND211002AAB,8,5,0.008760593137584725,0.027777777777777776,0.0016583940651926864,38.0,38.0,100.0,High Risk
IND390022AAA,5,6,0.0053545184565024235,0.3,0.0012509213218937756,39.0,37.0,94.9,High Risk
IND515004AAA,9,9,0.012747108110294378,0.06666666666666667,0.00241394282656482,48.0,36.0,75.0,High Risk
IND122004AAA,0,4,0.0,0.0,0.00012114567835132603,36.0,35.0,97.2,Low Risk
IND110037AAK,2,3,0.0,0.0,0.00033877521179827654,37.0,35.0,94.6,Low Risk
IND306401AAB,3,5,0.008176551495078562,0.2,0.0008915709010379814,40.0,35.0,87.5,High Risk
IND313001AAB,5,6,0.008586360295071907,0.14285714285714285,0.001808517874845838,37.0,35.0,94.6,High Risk
IND110064AAA,4,5,0.0008028721959008158,0.16666666666666666,0.0006936041695586482,38.0,34.0,89.5,Low Risk
IND560064AAD,0,2,0.0,0.0,0.00012114567835132603,34.0,34.0,100.0,Low Risk
IND140301AAA,1,2,0.0008017381956241196,0.3333333333333333,0.00028073580935141103,33.0,33.0,100.0,Low Risk
IND305001AAC,7,5,0.006774517652982307,0.10714285714285714,0.001810342496461918,36.0,32.0,88.9,High Risk
IND560058AAD,6,3,0.0,1.0,0.0006584812289281228,31.0,31.0,100.0,Low Risk
IND786001AAB,6,7,0.004897369194958083,0.10606060606060606,0.0018395727338073775,36.0,31.0,86.1,High Risk
IND403726AAA,7,8,0.007556346192699544,0.1388888888888889,0.0014286421372837765,37.0,31.0,83.8,High Risk
IND627005AAA,3,3,1.6254003965976968e-05,0.06666666666666667,0.0011030470974237128,30.0,30.0,100.0,Low Risk
IND410206AAB,0,2,0.0,0.0,0.00012114567835132603,30.0,30.0,100.0,Low Risk
IND641062AAD,13,13,9.676802361139776e-05,0.06060606060606061,0.0034514844573802434,48.0,30.0,62.5,Low Risk
IND600044AAD,9,10,0.003195234779637286,0.2,0.0010574955791587046,40.0,29.0,72.5,High Risk
IND560002AAA,7,4,0.0,1.0,0.0008561182480621697,31.0,29.0,93.5,Low Risk
IND362001AAA,3,6,4.195801023775449e-05,0.047619047619047616,0.0018522607752996273,32.0,29.0,90.6,Low Risk
IND140901AAA,2,2,0.0003984120972125517,0.6666666666666666,0.00040977719998163813,28.0,28.0,100.0,Low Risk
IND517501AAB,2,2,9.072002213568539e-06,0.0,0.0013611369303008105,28.0,28.0,100.0,Low Risk
IND503111AAC,2,2,0.010261568503822715,0.16666666666666666,0.0009013691000816234,28.0,28.0,100.0,High Risk
IND411021AAA,3,2,0.0,0.0,0.000443105058523451,27.0,27.0,100.0,Low Risk
IND273014AAB,5,6,0.0060582074782026245,0.0,0.0025902266431162145,35.0,27.0,77.1,High Risk
IND380021AAA,0,2,0.0,0.0,0.00012114567835132603,28.0,26.0,92.9,Low Risk
IND786181AAC,4,5,0.0008285762021725933,0.16666666666666666,0.00179363410515453,31.0,26.0,83.9,High Risk
IND412105AAC,1,2,0.0,0.0,0.000802792977903005,26.0,26.0,100.0,Low Risk
IND416012AAA,10,8,0.010729835672625348,0.1111111111111111,0.0021300785458280027,39.0,26.0,66.7,High Risk
IND507002AAA,5,7,0.004565904964080833,0.1388888888888889,0.0012928121961768074,32.0,26.0,81.2,High Risk
IND400015AAA,7,4,0.0,1.0,0.0007595040321033604,28.0,26.0,92.9,Low Risk
IND560048AAB,10,5,0.0007990921949784955,0.5,0.0010296297874205853,39.0,26.0,66.7,Low Risk
IND632006AAA,6,7,0.003242295791120173,0.23809523809523808,0.0007200268258307015,37.0,26.0,70.3,High Risk
IND400102AAC,4,4,0.0004014360979504079,0.0,0.0004725845824629946,28.0,25.0,89.3,Low Risk
IND401209AAB,0,5,0.0,0.3333333333333333,0.00012114567835132603,27.0,25.0,92.6,Low Risk
IND411036AAA,3,4,0.0,0.0,0.0004663363868149714,26.0,25.0,96.2,Low Risk
IND141003AAB,0,2,0.0,1.0,0.00012114567835132603,25.0,25.0,100.0,Low Risk
IND573201AAB,6,10,0.012868510790965562,0.14285714285714285,0.0015084494837733166,36.0,25.0,69.4,High Risk
IND201301AAF,16,4,0.0016189743950297522,0.1111111111111111,0.003223544610817249,26.0,25.0,96.2,High Risk
IND422011AAD,3,5,0.004783213167104013,0.3,0.0009036947811698803,31.0,25.0,80.6,High Risk
IND500010AAB,4,4,0.0,0.0,0.0011724854967534715,32.0,24.0,75.0,Low Risk
IND400701AAB,5,4,0.0,1.0,0.0005776819306142019,25.0,24.0,96.0,Low Risk
IND641607AAA,3,4,4.3092010514450564e-05,0.16666666666666666,0.0010331643814282998,26.0,24.0,92.3,Low Risk
IND151001AAA,6,4,0.0063500235494057455,0.10714285714285714,0.002255142839969222,41.0,24.0,58.5,High Risk
IND110043AAA,6,4,0.0011993942926522073,0.0,0.0008378464962052483,28.0,24.0,85.7,High Risk
IND000000ACK,0,1,0.0,0.0,0.00012114567835132603,24.0,24.0,100.0,Low Risk
IND125001AAA,10,11,0.008618164613527464,0.10606060606060606,0.0031504966674734862,36.0,24.0,66.7,High Risk
IND462001AAA,2,2,0.00039954609748924777,0.0,0.0005165887200225354,24.0,24.0,100.0,Low Risk
IND533106AAA,11,12,0.006196616088897405,0.15555555555555556,0.0020945519845263576,44.0,23.0,52.3,High Risk
IND583101AAA,2,2,0.003991680973970157,0.16666666666666666,0.0006111889733901391,23.0,23.0,100.0,High Risk
IND560083AAB,4,4,0.0,1.0,0.000482285720039965,26.0,23.0,88.5,Low Risk
IND577002AAA,6,5,0.003192966779083894,0.26666666666666666,0.001752995656140594,28.0,23.0,82.1,High Risk
IND245304AAA,2,2,0.0,1.0,0.0006429236751197139,23.0,23.0,100.0,Low Risk
IND380006AAB,0,2,0.0,0.0,0.00012114567835132603,24.0,22.0,91.7,Low Risk
IND842003AAB,6,8,0.011919098908260133,0.06060606060606061,0.00409132265434778,34.0,22.0,64.7,High Risk
IND121001AAA,2,2,0.0,0.0,0.00041754209127599335,22.0,22.0,100.0,Low Risk
IND382421AAA,1,3,0.0,1.0,0.00025200815297781847,24.0,22.0,91.7,Low Risk
IND600044AAE,4,4,0.0,0.0,0.0004278167635892361,23.0,22.0,95.7,Low Risk
IND474003AAA,9,7,0.006906652085223108,0.15555555555555556,0.0018065077922062558,29.0,21.0,72.4,High Risk
IND424006AAA,5,8,0.002023749493794876,0.13333333333333333,0.0008457897496789193,31.0,21.0,67.7,High Risk
IND160102AAC,2,3,0.0,0.0,0.0005138826985659604,23.0,21.0,91.3,Low Risk
IND560078AAC,8,5,0.0,1.0,0.000868152519877316,27.0,21.0,77.8,Low Risk
IND610001AAA,3,3,0.003587598875374125,0.16666666666666666,0.0012792015314499355,23.0,21.0,91.3,High Risk
IND396191AAC,7,7,0.002000376488091863,0.1,0.0007599731511367301,25.0,20.0,80.0,High Risk
IND396321AAA,2,2,9.450002305800563e-06,0.0,0.0008685605964274468,20.0,20.0,100.0,Low Risk
IND583201AAA,4,3,0.001999620487907399,0.3333333333333333,0.0010647126549578837,22.0,20.0,90.9,High Risk
IND201301AAM,3,2,0.0,0.0,0.000621599343877775,20.0,20.0,100.0,Low Risk
IND560060AAB,11,4,0.0,1.0,0.0009969251458216762,27.0,20.0,74.1,Low Risk
IND620020AAA,0,2,0.0,0.0,0.00012114567835132603,19.0,19.0,100.0,Low Risk
IND713205AAB,11,14,0.014274039482865633,0.054945054945054944,0.002938568181674021,38.0,19.0,50.0,High Risk
IND136128AAA,1,1,0.0008043841962697438,0.0,0.0003615429527771903,19.0,19.0,100.0,Low Risk
IND570020AAA,5,3,0.0028285746901722244,0.09523809523809523,0.001508952253203843,20.0,19.0,95.0,High Risk
IND673592AAA,3,4,0.0012009062930211354,0.16666666666666666,0.000662114593391811,21.0,19.0,90.5,High Risk
IND691574AAA,3,2,1.0206002490264607e-05,0.3333333333333333,0.00025586787203560677,20.0,19.0,95.0,Low Risk
IND332001AAB,3,6,0.007970509944804426,0.08333333333333333,0.001327333857346785,27.0,19.0,70.4,High Risk
IND142001AAB,2,2,0.000990549241694015,0.6666666666666666,0.0005249171095519297,20.0,19.0,95.0,High Risk
IND848114AAA,1,1,0.0012024182933900636,1.0,0.00029537138012062763,19.0,19.0,100.0,High Risk
IND585401AAA,1,1,0.003970512968805164,0.0,0.0005085282763986151,19.0,19.0,100.0,High Risk
IND502220AAC,1,1,0.003966732967882844,0.0,0.0005915497986826458,19.0,19.0,100.0,High Risk
IND502286AAB,1,1,0.003968622968344004,0.0,0.0005527570060716983,19.0,19.0,100.0,High Risk
IND136118AAA,1,1,0.0012054422941279196,0.0,0.00028276731499806464,19.0,19.0,100.0,High Risk
